matratt_norm,obs,total_kg,svinn_g_p,match_status,matched_nutrition_dish,protein_g,energi_kcal,exclusion_reason
ost och skinksås,2,29.0,102.4,unmatched,,,,unmatched_nutrition
burgare,4,28.8,27.2,unmatched,,,,unmatched_nutrition
"snitzel,sås pot",1,28.7,75.3,unmatched,,,,fewer_than_2_observations
spaghetti,8,28.3,27.5,unmatched,,,,unmatched_nutrition
"fisk, dillsås",1,28.0,64.4,unmatched,,,,fewer_than_2_observations
"cornffisk, gräsl",1,27.9,79.7,unmatched,,,,fewer_than_2_observations
"stektfaluk,mos",1,27.1,72.1,unmatched,,,,fewer_than_2_observations
rotpytt,1,27.0,48.4,unmatched,,,,fewer_than_2_observations
spag köttsås,1,26.8,43.0,unmatched,,,,fewer_than_2_observations
"kö,grsoppa",1,26.7,70.6,unmatched,,,,fewer_than_2_observations
biff stroganoff,5,26.6,22.7,unmatched,,,,unmatched_nutrition
"kassler,potgra",1,26.5,70.1,unmatched,,,,fewer_than_2_observations
västerhavs,1,26.4,64.9,unmatched,,,,fewer_than_2_observations
lasangnette,1,26.3,40.0,unmatched,,,,fewer_than_2_observations
fiskgryta,3,26.2,27.5,unmatched,,,,unmatched_nutrition
soppbufee,1,26.1,45.4,unmatched,,,,fewer_than_2_observations
"falafel,couscous",1,26.0,81.2,unmatched,,,,fewer_than_2_observations
het korvgryta,2,26.0,41.7,unmatched,,,,unmatched_nutrition
rotfruktspytt,4,26.0,36.9,normalized,Rotfruktspytt med kyckling serveras med mangosås,11.8,78.6,energy_below_150
korvstrogamoff,1,25.9,40.9,unmatched,,,,fewer_than_2_observations
cowsoppa,1,25.7,41.4,manual_override,Cowboysoppa,13.8,245.7,fewer_than_2_observations
husetsfisk,1,25.7,68.9,unmatched,,,,fewer_than_2_observations
pasta skinksås,1,25.2,39.5,unmatched,,,,fewer_than_2_observations
korvstrog,1,25.1,37.6,unmatched,,,,fewer_than_2_observations
spag k sås,1,25.1,38.7,unmatched,,,,fewer_than_2_observations
cowboy,1,25.1,40.9,unmatched,,,,fewer_than_2_observations
chili,3,25.0,29.1,unmatched,,,,unmatched_nutrition
fiskbordelaise,1,25.0,79.4,unmatched,,,,fewer_than_2_observations
"köttbull,mos",1,24.8,55.7,unmatched,,,,fewer_than_2_observations
winerkov pasta,1,24.6,40.0,unmatched,,,,fewer_than_2_observations
thai gryta,1,24.5,49.9,unmatched,,,,fewer_than_2_observations
pasta brocsås,1,24.5,43.4,unmatched,,,,fewer_than_2_observations
